City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Lucera,IT,45.82,overcast clouds,41.5082,15.3351,Palace Lucera Hotel
Port Hardy,CA,41.0,light rain,50.6996,-127.4199,Glen Lyon Inn
Broome,US,54.01,overcast clouds,42.2506,-75.833,
Itoman,JP,66.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
Gallup,US,57.96,clear sky,35.5281,-108.7426,Hampton Inn & Suites Gallup
Awbari,LY,48.18,clear sky,26.5921,12.7805,
Chuy,UY,66.78,clear sky,-33.6971,-53.4616,Hotel Bianca
Severo-Kurilsk,RU,37.15,broken clouds,50.6789,156.125,Kak Doma
Iquique,CL,67.66,overcast clouds,-20.2208,-70.1431,Holiday Inn Express Iquique
San Joaquin,US,53.85,haze,37.9333,-121.3011,University Plaza Waterfront Hotel
Semirom,IR,34.11,clear sky,31.4167,51.5667,(سوئیت اجاره)(ابراهیم دلداده)
Praia Da Vitoria,PT,62.85,broken clouds,38.7333,-27.0667,Atlântida Mar Hotel
Abu Kamal,SY,53.65,overcast clouds,34.4506,40.9171,
Waddan,LY,52.39,clear sky,29.1614,16.139,
Bobcaygeon,CA,35.87,overcast clouds,44.5462,-78.542,New Rockland Motel
Akdepe,TM,32.09,clear sky,42.0551,59.3788,
Provins,FR,42.85,overcast clouds,48.5833,3.1667,
Balkhash,KZ,33.87,light rain,46.844,74.9804,Гостиница Respect
Ganzhou,CN,48.52,clear sky,28.8184,115.4327,
Rocha,UY,66.65,scattered clouds,-34.4833,-54.3333,
Concarneau,FR,49.05,scattered clouds,47.875,-3.9225,Brit Hotel de L' Océan
Lodi,US,54.84,overcast clouds,38.1302,-121.2725,"Holiday Inn Express Lodi, an IHG Hotel"
Muros,ES,57.09,overcast clouds,42.7762,-9.0603,Hotel La Muradana
Margate,GB,40.03,few clouds,51.3813,1.3862,The Yarrow Hotel
Mizdah,LY,45.48,clear sky,31.4451,12.9801,فندق مزدة الكبير
