City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
50,Seoul,KR,2021-12-06 21:30:05,37.5683,126.9778,38.64,86,4,1.14,mist,0,0
51,Hoquiam,US,2021-12-06 21:30:06,46.9809,-123.8893,49.01,93,90,10.36,mist,0,0
52,East London,ZA,2021-12-06 21:30:07,-33.0153,27.9116,65.7,85,66,9.13,light rain,0,0
53,Stornoway,GB,2021-12-06 21:25:09,58.2093,-6.3865,39.16,88,40,4.0,light rain,0,0
54,Kleive,NO,2021-12-06 21:30:08,62.7954,7.6359,30.58,71,94,7.38,overcast clouds,0,0
55,Talnakh,RU,2021-12-06 21:26:57,69.4865,88.3972,-9.8,99,100,12.8,light snow,0,0
56,Eydhafushi,MV,2021-12-06 21:30:08,5.1033,73.0708,81.93,75,19,8.7,few clouds,0,0
57,Locri,IT,2021-12-06 21:30:08,38.2414,16.2623,52.16,74,18,8.88,few clouds,0,0
58,Krasna Lipa,CZ,2021-12-06 21:30:09,50.4838,13.3575,28.33,78,98,2.8,overcast clouds,0,0
59,Butaritari,KI,2021-12-06 21:27:33,3.0707,172.7902,82.94,78,96,14.32,overcast clouds,0,0
60,Coihaique,CL,2021-12-06 21:27:28,-45.5752,-72.0662,80.91,29,9,7.76,clear sky,0,0
61,Hermanus,ZA,2021-12-06 21:30:09,-34.4187,19.2345,59.9,76,5,1.74,clear sky,0,0
62,Kanigiri,IN,2021-12-06 21:30:10,15.4,79.5167,72.59,74,6,3.33,clear sky,0,0
63,Cuauhtemoc,MX,2021-12-06 21:27:21,28.4167,-106.8667,63.72,25,0,11.14,clear sky,0,0
64,Yatou,CN,2021-12-06 21:30:10,37.15,122.3833,40.69,64,2,9.98,clear sky,0,0
65,Misratah,LY,2021-12-06 21:30:11,32.3754,15.0925,56.26,57,54,34.52,broken clouds,0,0
66,Tilichiki,RU,2021-12-06 21:30:11,60.4667,166.1,-11.11,86,13,8.12,few clouds,0,0
67,Caravelas,BR,2021-12-06 21:30:11,-17.7125,-39.2481,76.69,83,95,9.08,moderate rain,0,0
68,Eaton Socon,GB,2021-12-06 21:30:12,52.2175,-0.2893,39.02,90,42,15.39,scattered clouds,0,0
69,Bealanana,MG,2021-12-06 21:30:12,-14.55,48.7333,60.44,96,19,3.71,few clouds,0,0
70,Jamestown,US,2021-12-06 21:30:12,42.097,-79.2353,38.08,50,90,17.0,overcast clouds,0,0
71,Avera,US,2021-12-06 21:30:13,33.194,-82.5271,72.28,65,100,11.7,overcast clouds,0,0
72,Fuente De Oro,CO,2021-12-06 21:30:13,3.4594,-73.6128,81.09,72,98,2.51,overcast clouds,0,0
73,Mochalishche,RU,2021-12-06 21:30:13,56.3306,48.3547,3.97,82,51,3.67,broken clouds,0,0
74,Qaanaaq,GL,2021-12-06 21:30:14,77.484,-69.3632,19.8,83,100,7.43,overcast clouds,0,0
75,Ouesso,CG,2021-12-06 21:30:14,1.6136,16.0517,74.32,78,49,1.34,scattered clouds,0,0
76,Khatanga,RU,2021-12-06 21:30:15,71.9667,102.5,-7.13,98,100,8.79,light snow,0,0
77,Glendive,US,2021-12-06 21:30:15,47.1053,-104.7125,19.49,76,75,9.22,broken clouds,0,0
78,Inirida,CO,2021-12-06 21:30:15,3.8653,-67.9239,77.68,93,62,3.31,broken clouds,0,0
79,Yellowknife,CA,2021-12-06 21:30:16,62.456,-114.3525,-17.72,76,75,5.75,broken clouds,0,0
80,Longyearbyen,SJ,2021-12-06 21:30:12,78.2186,15.6401,35.44,69,75,26.46,broken clouds,0,0
81,Ushuaia,AR,2021-12-06 21:27:39,-54.8,-68.3,58.66,41,20,24.16,few clouds,0,0
82,Lasa,IT,2021-12-06 21:30:17,46.6166,10.7002,28.69,74,40,4.03,scattered clouds,0,0
83,Tuktoyaktuk,CA,2021-12-06 21:30:17,69.4541,-133.0374,8.6,78,75,13.8,broken clouds,0,0
84,Road Town,VG,2021-12-06 21:25:38,18.4167,-64.6167,82.49,74,40,10.36,scattered clouds,0,0
85,Cape Town,ZA,2021-12-06 21:26:48,-33.9258,18.4232,61.27,66,0,8.05,clear sky,0,0
86,Cidreira,BR,2021-12-06 21:27:42,-30.1811,-50.2056,69.67,80,28,15.55,scattered clouds,0,0
87,Biltine,TD,2021-12-06 21:30:18,14.5333,20.9167,75.63,20,7,5.95,clear sky,0,0
88,Bengkulu,ID,2021-12-06 21:30:18,-3.8004,102.2655,74.97,90,100,4.23,heavy intensity rain,0,0
89,Mahebourg,MU,2021-12-06 21:28:05,-20.4081,57.7,79.09,73,40,10.36,scattered clouds,0,0
90,Kibala,TD,2021-12-06 21:30:19,9.1104,18.3463,75.15,73,0,0.0,clear sky,0,0
91,Sinnamary,GF,2021-12-06 21:30:19,5.3833,-52.95,77.43,90,81,8.88,broken clouds,0,0
92,Clyde River,CA,2021-12-06 21:30:19,70.4692,-68.5914,10.63,79,100,16.11,light snow,0,0
93,Jalu,LY,2021-12-06 21:27:04,29.0331,21.5482,58.57,42,0,11.3,clear sky,0,0
